,0
Agglomerate,"Agglomerate (from the Latin agglomerare meaning ""to form into a ball"") is a coarse accumulation of large blocks of volcanic material that contains at least 75% bombs. Volcanic bombs differ from volcanic blocks in that their shape records fluidal surfaces:  they may, for example, have ropy, cauliform, scoriaceous, or folded, chilled margins and spindle, spatter, ribbon, ragged, or amoeboid shapes.  Globular masses of lava may have been shot from the crater at a time when partly molten lava was exposed, and was frequently shattered by sudden outbursts of steam. These bombs were viscous at the moment of ejection and by rotation in the air acquired their shape. They are commonly 1 to 2 feet (30 to 60 cm) in diameter, but specimens as large as 12 feet (3.7 m) have been observed. There is less variety in their composition at any one volcanic centre than in the case of the lithic blocks, and their composition indicates the type of magma being erupted.
Agglomerates are typically found near volcanic vents and within volcanic conduits, where they may be associated with pyroclastic or intrusive volcanic breccias. Older (pre-1970) publications, particularly in Scotland, referred to any coarse-grained volcaniclastic rock as 'agglomerate', which led to debris flow deposits, talus deposits and other types of breccia being mistaken for vents.  Agglomerates are typically poorly sorted, may contain a fine ash or tuff matrix and vary from matrix to clast support.  They may be monolithologic or heterolithic, and may contain some blocks of various igneous rocks. There are various differences between agglomerates and ordinary ash beds or tuffs. Agglomerates are coarser and less frequently well-bedded.  Agglomerates can be non-welded or welded, such as coarse basaltic 'spatter'.  They typically form proximally during Strombolian eruptions, and are common at strongly peralkaline volcanoes.  Some large agglomerate deposits are deposited from pyroclastic density currents during explosive caldera-forming eruptions, such as at Santorini, Taal, and Campi Flegrei.  They may be massive to crudely bedded, and can attain great thicknesses.
Crystalline masses of a different kind occur in some numbers in certain agglomerates. They consist of volcanic minerals very much the same as those formed in the lava, but exhibiting certain peculiarities which indicate that they have formed slowly under pressure at considerable depths. They bear a resemblance to plutonic igneous rocks, but are more correctly to be regarded as agglomerations of crystals formed within the liquid lava as it slowly rose towards the surface, and at a subsequent period cast out by violent steam explosions. The sanidinites of the Eifel belong to this group. At Vesuvius, Ascension, St Vincent and many other volcanoes, they form a considerable part of the coarser ash-beds. Their commonest minerals are olivine, anorthite, hornblende, augite, biotite and leucite."
Andesite,"For the extinct cephalopod genus, see Andesites.

Andesite (  or ) is an extrusive igneous, volcanic rock, of intermediate composition, with aphanitic to porphyritic texture. In a general sense, it is the intermediate type between basalt and rhyolite, and ranges from 57 to 63% silicon dioxide (SiO2) as illustrated in TAS diagrams. The mineral assemblage is typically dominated by plagioclase plus pyroxene or hornblende. Magnetite, zircon, apatite, ilmenite, biotite, and garnet are common accessory minerals. Alkali feldspar may be present in minor amounts. The quartz-feldspar abundances in andesite and other volcanic rocks are illustrated in QAPF diagrams.
Classification of andesites may be refined according to the most abundant phenocryst. Example: hornblende-phyric andesite, if hornblende is the principal accessory mineral.
Andesite can be considered as the extrusive equivalent of plutonic diorite. Characteristic of subduction zones, andesite represents the dominant rock type in island arcs. The average composition of the continental crust is andesitic.  Along with basalts they are a major component of the Martian crust. The name andesite is derived from the Andes mountain range."
Basalt,"Basalt (US: , UK: ) is a mafic extrusive igneous rock formed from the rapid cooling of magnesium-rich and iron-rich lava exposed at or very near the surface of a terrestrial planet or a moon. More than 90% of all volcanic rock on Earth is basalt. Basalt lava has a low viscosity, due to its low silica content, resulting in rapid lava flows that can spread over great areas before cooling and solidification. Flood basalt describes the formation in a series of lava basalt flows."
Basaltic andesite,"Basaltic andesite is a volcanic rock containing about 55% silica. It is distinct from basalt and andesite in having a different percentage of silica content. Minerals in basaltic andesite include olivine, augite and plagioclase. Basaltic andesite can be found in volcanoes around the world, including in Central America and the Andes of South America."
Benmoreite,Benmoreite is a silica-undersaturated volcanic rock of intermediate composition. It is a sodium-rich variety of trachyandesite and belongs to the alkalic suite of igneous rocks.
Blairmorite,"Blairmorite is a very rare porphyritic volcanic rock characterized by dominant analcime phenocrysts in a matrix of analcime, sanidine and alkalic pyroxene with accessory titanite, melanite and nepheline. It is a leucocratic variety of analcimite (a foidite). Blairmorite has also been described as an analcime-rich variety of phonolite.It was named after the community of Blairmore in southwestern Alberta, Canada.This extrusive igneous rock is known from only two geological formations worldwide. The foremost blairmorite occurrence is the Crowsnest Formation in the Canadian province of Alberta where it is associated with agglomerates and tuffs from explosive eruptions. The other locality is the Lupata Gorge in Mozambique."
Dacite,"Dacite ( ) is an igneous, volcanic rock. It has an aphanitic to porphyritic texture and is intermediate in composition between andesite and rhyolite. The word dacite comes from Dacia, a province of the Roman Empire which lay between the Danube River and Carpathian Mountains (now modern Romania and Moldova) where the rock was first described."
Felsite,"Felsite is a very fine-grained  volcanic rock that may or may not contain larger crystals. Felsite is a field term for a light-colored rock that typically requires petrographic examination or chemical analysis for more precise definition. Color is generally white through light gray, or red to tan and may include any color except dark gray, green or black (the colors of trap rock). The mass of the rock consists of a fine-grained matrix of felsic materials, particularly quartz, sodium and potassium feldspar, and may be termed a quartz felsite or quartz porphyry if the quartz phenocrysts are present.  This rock is typically of extrusive origin, formed by compaction of fine volcanic ash, and may be found in association with obsidian and rhyolite.  In some cases, it is sufficiently fine-grained for use in making stone tools. Its fine texture and felsic components allow for good knapped pieces, much like working chert, producing conchoidal fracture.  
Dendritic manganese oxides such as pyrolusite and/or iron oxides such as limonite may precipitate along rock crevices, giving some rock chunk surfaces multicolored or arborescent patterned textures."
Komatiite,"Komatiite ( ) is a type of ultramafic mantle-derived volcanic rock defined as having crystallised from a lava with ≥ 18 wt% MgO. Komatiites have low silicon, potassium and aluminium, and high to extremely high magnesium content. Komatiite was named for its type locality along the Komati River in South Africa, and frequently displays spinifex texture composed of large dendritic plates of olivine and pyroxene.
Komatiites are rare and predominantly found in rocks of Archaean age, with few Proterozoic or Phanerozoic komatiites known. This restriction in age is thought to be due to cooling of the mantle, which may have been 100 – 250°C hotter during the Archaean (4.0 to 2.5 billion years ago). The early Earth had much higher heat production, due to the residual heat from planetary accretion, as well as the greater abundance of radioactive elements. Lower temperature mantle melts such as basalt and picrite have essentially replaced komatiites as an eruptive lava on the Earth's surface.
Geographically, komatiites are predominantly restricted in distribution to the Archaean shield areas, and occur with other ultramafic and high-magnesian mafic volcanic rocks in Archaean greenstone belts.  The youngest komatiites are from the island of Gorgona on the Caribbean oceanic plateau off the Pacific coast of Colombia, and a rare example of Proterozoic komatiite is found in the Winnipegosis komatiite belt, Manitoba, Canada."
Latite,"Latite is an igneous, volcanic rock, with aphanitic-aphyric to aphyric-porphyritic texture. Its mineral assemblage is usually alkali feldspar and plagioclase in approximately equal amounts. Quartz is less than five percent and is absent in a feldspathoid-bearing latite, and olivine is absent in a quartz-bearing latite. When quartz content is greater than five percent the rock is classified as quartz latite. Biotite, hornblende, pyroxene and scarce olivine or quartz are common accessory minerals.
Rhomb porphyries are an unusual variety with gray-white porphyritic rhomb shaped phenocrysts embedded in a very fine grained red-brown matrix.  The composition of rhomb porphyry places it in the trachyte - latite classification of the QAPF diagram.
Latite is found, for example, as lavas in Bulgaria and as intrusive laccoliths and sills in South Dakota, USA."
